source,target,year,value
1409432424,51243417,2022,3
2660575,51243417,2022,5
2310860,51243417,2022,5
1409432424,2660575,2022,3
1409432424,2310860,2022,3
2310860,2660575,2022,10
1387936232,2232853,2022,2
2232853,84101078,2022,1
2023694909,84101078,2022,1
46370057,84101078,2022,1
2023694909,2232853,2022,2
2232853,46370057,2022,1
2023694909,46370057,2022,1
2023694909,2295961,2022,1
2232853,2295961,2022,2
115277605,1768830382,2022,5
1768830382,2797207,2022,5
1768830382,32281113,2022,5
1768830382,5306981,2022,3
1768830382,2186062,2022,4
1768830382,2943065,2022,7
115277605,2797207,2022,5
115277605,32281113,2022,5
115277605,5306981,2022,2
115277605,2186062,2022,3
115277605,2943065,2022,5
2797207,32281113,2022,5
2797207,5306981,2022,2
2186062,2797207,2022,3
2797207,2943065,2022,5
32281113,5306981,2022,2
2186062,32281113,2022,5
2943065,32281113,2022,7
2186062,5306981,2022,2
2943065,5306981,2022,3
2186062,2943065,2022,7
2943065,5257377,2022,4
143674561,5257377,2022,3
143674561,2943065,2022,3
1768830382,81830454,2022,5
115277605,81830454,2022,4
32281113,81830454,2022,6
2797207,81830454,2022,4
5306981,81830454,2022,1
2943065,81830454,2022,7
2277354,32281113,2022,2
2277354,81830454,2022,2
2186062,2277354,2022,2
2277354,2943065,2022,2
2186062,81830454,2022,4
5257377,81830454,2022,2
1404622804,81830454,2022,2
143674561,81830454,2022,2
115277605,5257377,2022,1
32281113,5257377,2022,1
1768830382,5257377,2022,2
1404622804,5257377,2022,2
2186062,5257377,2022,1
2797207,5257377,2022,1
115277605,1404622804,2022,1
115277605,143674561,2022,1
1404622804,32281113,2022,1
143674561,32281113,2022,1
1404622804,1768830382,2022,2
143674561,1768830382,2022,2
1404622804,2186062,2022,1
1404622804,2797207,2022,1
1404622804,2943065,2022,2
1404622804,143674561,2022,2
143674561,2186062,2022,1
143674561,2797207,2022,1
1484836547,5306981,2022,1
1484836547,1768830382,2022,1
1484836547,2186062,2022,2
1484836547,2943065,2022,2
144887941,5257377,2022,2
1404622804,144887941,2022,1
144887941,81830454,2022,1
144887941,1768830382,2022,1
143674561,144887941,2022,1
144887941,2943065,2022,2
147115675,148176877,2022,2
148176877,2660575,2022,4
148176877,2310860,2022,4
147115675,2660575,2022,2
147115675,2310860,2022,2
145046057,49707911,2022,4
145046057,8640622,2022,4
145046057,2660575,2022,3
145046057,2310860,2022,3
49707911,8640622,2022,4
2660575,49707911,2022,3
2310860,49707911,2022,3
2660575,8640622,2022,3
2310860,8640622,2022,3
148176877,51243417,2022,2
2070589931,3391180,2022,3
29113221,46257803,2022,3
46257803,50016111,2022,2
2086689908,50016111,2022,2
29113221,50016111,2022,2
2086689908,46257803,2022,2
2086689908,29113221,2022,2
2146723179,4952621,2022,2
2146723179,29113221,2022,1
29113221,4952621,2022,3
2449352,29113221,2022,2
2449352,4952621,2022,3
38798234,5988360,2022,3
38798234,4444363,2022,3
3149509,38798234,2022,3
4444363,5988360,2022,3
3149509,5988360,2022,3
3149509,4444363,2022,3
1810682820,47317563,2022,3
4444363,47317563,2022,3
1810682820,4444363,2022,4
1732789,2112231565,2022,3
12892793,1732789,2022,2
12892793,2112231565,2022,2
144317022,1732789,2022,1
144317022,2112231565,2022,1
12892793,144317022,2022,1
2086689908,2146723179,2022,1
2086689908,2449352,2022,1
2086689908,4952621,2022,1
2146723179,2449352,2022,1
15239818,152456441,2022,2
152456441,2800259,2022,2
152456441,2670026,2022,2
15239818,2800259,2022,2
15239818,2670026,2022,2
2670026,2800259,2022,3
144317022,2800259,2022,1
2064248895,2080343672,2022,2
2080343672,2800259,2022,2
2080343672,2670026,2022,2
2064248895,2800259,2022,2
2064248895,2670026,2022,2
152456441,2064248895,2022,1
152456441,2080343672,2022,1
15239818,2064248895,2022,1
15239818,2080343672,2022,1
2070589931,7373730,2022,3
1387936232,7373730,2022,3
1387936232,2070589931,2022,3
1387936232,1612340138,2022,5
147115675,1612340138,2022,1
147115675,84101078,2022,1
1387936232,147115675,2022,1
1612340138,84101078,2022,1
1387936232,84101078,2022,1
1612340138,46370057,2022,2
1387936232,46370057,2022,2
1389622569,3081457,2022,2
1709304,3081457,2022,2
1400632409,3081457,2022,2
3081457,7373730,2022,2
1389622569,1709304,2022,2
1389622569,1400632409,2022,2
1389622569,7373730,2022,2
1400632409,1709304,2022,2
1709304,7373730,2022,2
1400632409,7373730,2022,2
1945992,2011787,2022,2
1745569,1945992,2022,2
1945992,2771794,2022,2
